genre,songName,singer,musicDirector,lyricist,movie,year
playful_songs,Agar Nibhane Ki Himmat Na Thi Aap Me,Asha Bhosle,Kalyanji Anandji,Sahir Ludhianvi,Shankar Shambhu,1976
playful_songs,Agar Teri Ankho Se Ankhe Mila Do,Asha Bhosle,Hansraj Behl,Naqsh Lyallpuri,Jaggu,1952
playful_songs,Agar Tum Na Milte Agar Tum Na Aate,Amirbai Karnataki,M A Rauf Osmania,Pandit Phani,Beete Din,1947
playful_songs,Ahista Ahista,Farhan Akhtar,Mikey McCleary,Ankur Tewari,Shaadi Ke Side Effects,2014
playful_songs,Ai Raat Dheere Chal (The Touch Of Love),Shreya Ghoshal*Roop Kumar Rathod,Anirudh Ravichander,Kumaar,3,2012
playful_songs,Aigiri Nandini,Sona Mohapatra*Aruna Sairam,Traditional,Traditional,Coke Studio 3 - Episode 02,2013
playful_songs,Aisa Bhi Hota Hai,Kumar Sanu,Salil Chowdhury,NotFound,Hamari Shaadi,1990
playful_songs,Aisa Ek Jahaan,Palash Sen,Palash Sen,Palash Sen,Gully (album),2003
playful_songs,Aisa Jahan,Madhushree,Siddharth Kasyap,Shakeel Azmi,Rock On Hindustan (Album),2013
playful_songs,Aisa Mitti Ka Madhav Mila,Mohammed Aziz*Alka Yagnik,Usha Khanna,Indeevar,Dharti Ki Kasam,1987
playful_songs,Aisa Na Kar Bhai Aisa Na Kar,Gulshan Sufi,Gulshan Sufi,Aziz Kashmiri,Janmapatri,1949
playful_songs,Aisa Pyar Kahan (Bit),Mohammed Aziz,Laxmikant Pyarelal,Anand Bakshi,Aisa Pyar Kahan,1986
playful_songs,Aise Hi Bada Hua Gavaskar,Anjan Srivastava*Shaan*K. K.,Pritam Chakraborty,Gaurab Pandey,Stumped,2003
playful_songs,Aise Koyee Jata Hai Kisee Ko Chhod Ke,K. K.,Bhupen Hazarika,Prasoon Joshi,Kyon,2003
playful_songs,Aise Lamhe Bhi Ishq Me,Roop Kumar Rathod,Roop Kumar Rathod,NotFound,Pyaar Ka Jashn (Album),2003
playful_songs,Aise Na Ja Tu Ruth Ke (Wanna Wanna),Sunidhi Chauhan*Shaan,Pritam Chakraborty,Mayur Puri,Speed,2007
playful_songs,Aise Na Thukrao Ae Sanam,Asha Bhosle,R D Burman,Majrooh Sultanpuri,Zabardast,1985
playful_songs,Aisi Bhi Kya Jaldi Hai Thehro Zara,Asha Bhosle,S N Tripathi,NotFound,Raja,1963
playful_songs,Aisi Jaldi Bhi Kya Hai Sanam,Alka Yagnik*Kavita Krishnamurthy,R D Burman,Gulshan Bawra,Professor Ki Padosan,1993
playful_songs,Aisi Shaam Kabhi Na Aayi Hai,Omi*Dilraj Kaur*Asha Bhosle,Sonik Omi,M G Hashmat,Veeru Ustad,1977
playful_songs,Aitbar..... Pyar Karna Hai Tumko Mujhse Toh,Alka Yagnik*Abhijeet,Rajesh Roshan,Dev Kohli,Aetbaar,2004
playful_songs,Ajab Zindagi Ka,Vinod Rathod,Nadeem Shravan,Saeed Rahi,Solah Satra,1990
playful_songs,Ajab Zindagi Kaa (Female),Sarika Kapoor,Nadeem Shravan,Saeed Rahi,Solah Satra,1990
playful_songs,Aji Dil Ho Kaabu Me,NotFound,Shyam Sundar,Wali Sahab,Village Girl,1945
playful_songs,Aji Tum Hi Kaho Ji,Ram Kamlani*Mohammed Rafi*Kishore Kumar,Roshan,Rajendra Krishan,Maalkin,1953
playful_songs,Ajj Saanu O Mileya (The Anthem Of Dreams),Rachel Varghese*Mandar Deshpande,Ashu Phatak,Surjit Patar,Zubaan,2016
playful_songs,Ajnabi Koi Kabhi,Asha Bhosle,Kalyanji Anandji,Anjaan,Thikana,1987
